2024-02-02 11:15:47,146: root: INFO: Current backtesting datetime 2023-12-05 09:30:00-05:00
2024-02-02 11:15:47,150: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-02 11:15:47[0m
2024-02-02 11:15:47,151: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:47,155: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:48,417: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-02 11:15:48[0m
2024-02-02 11:15:48,419: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-02 11:15:48,421: root: INFO: Current backtesting datetime 2023-12-06 09:30:00-05:00
2024-02-02 11:15:48,423: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-02 11:15:48[0m
2024-02-02 11:15:48,423: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:48,432: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:49,285: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-02 11:15:49[0m
2024-02-02 11:15:49,287: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-02 11:15:49,288: root: INFO: Current backtesting datetime 2023-12-07 09:30:00-05:00
2024-02-02 11:15:49,292: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-02 11:15:49[0m
2024-02-02 11:15:49,292: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:49,295: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:50,332: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-02 11:15:50[0m
2024-02-02 11:15:50,335: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-02 11:15:50,336: root: INFO: Current backtesting datetime 2023-12-08 09:30:00-05:00
2024-02-02 11:15:50,339: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-02 11:15:50[0m
2024-02-02 11:15:50,340: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:50,345: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:51,790: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-02 11:15:51[0m
2024-02-02 11:15:51,795: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-02 11:15:51,798: root: INFO: Current backtesting datetime 2023-12-09 09:30:00-05:00
2024-02-02 11:15:51,800: root: INFO: [34mMLTrader : The market is not currently open, skipping this trading iteration[0m
2024-02-02 11:15:51,808: root: INFO: Current backtesting datetime 2023-12-09 09:25:00-05:00
2024-02-02 11:15:51,816: root: INFO: Current backtesting datetime 2023-12-09 09:25:00-05:00
2024-02-02 11:15:51,817: root: INFO: MLTrader : Executing the after_market_closes lifecycle method
2024-02-02 11:15:51,822: root: INFO: Current backtesting datetime 2023-12-11 08:30:00-05:00
2024-02-02 11:15:51,828: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-02-02 11:15:51,832: root: INFO: Current backtesting datetime 2023-12-11 09:30:00-05:00
2024-02-02 11:15:51,833: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-02-02 11:15:51,841: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-02 11:15:51[0m
2024-02-02 11:15:51,841: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:51,846: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-02 11:15:53,174: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-02 11:15:53[0m
2024-02-02 11:15:53,177: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
